"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72575399999","1991-07-11","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  80.9","10","  52.7","10","9999.9"," 0","999.9"," 0"," 49.7","10","  5.9","10"," 13.0","999.9","  89.1","*","  72.0","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-12","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  83.2"," 6","  51.3"," 6","9999.9"," 0","999.9"," 0"," 49.7"," 6","  7.0"," 6","  8.9","999.9","  90.0","*","  75.9","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-16","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  89.8","12","  44.8","12","9999.9"," 0","999.9"," 0"," 49.7","12"," 13.4","12"," 18.1"," 26.0","  95.0","*","  82.9","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-17","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  88.9","10","  44.6","10","9999.9"," 0","999.9"," 0"," 49.7","10"," 10.8","10"," 14.0","999.9","  95.0","*","  82.0","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-18","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  83.8","11","  49.6","11","9999.9"," 0","999.9"," 0"," 49.7","11","  7.1","11"," 18.1","999.9","  90.0","*","  73.9","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-22","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  83.8"," 6","  49.7"," 6","9999.9"," 0","999.9"," 0"," 49.7"," 6","  8.0"," 6"," 11.1"," 15.0","  88.0","*","  80.1","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-23","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  84.4"," 8","  53.5"," 8","9999.9"," 0","999.9"," 0"," 49.7"," 8","  6.8"," 8"," 11.1","999.9","  89.1","*","  75.9","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-24","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  84.5"," 8","  52.4"," 8","9999.9"," 0","999.9"," 0"," 49.7"," 8","  7.1"," 8","  9.9"," 15.9","  89.1","*","  73.0","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-25","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  83.5"," 4","  61.0"," 4","9999.9"," 0","999.9"," 0"," 49.7"," 4","  7.5"," 4"," 12.0"," 20.0","  88.0","*","  75.9","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-26","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  78.4"," 6","  59.3"," 6","9999.9"," 0","999.9"," 0"," 49.7"," 6","  5.5"," 6","  8.0"," 13.0","  86.0","*","  73.0","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-29","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  88.0"," 6","  45.8"," 6","9999.9"," 0","999.9"," 0"," 29.8"," 6","  3.1"," 6","  9.9","999.9","  93.0","*","  82.9","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-30","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  90.4"," 5","  51.4"," 5","9999.9"," 0","999.9"," 0"," 29.8"," 5","  5.0"," 5","  8.0","999.9","  95.0","*","  86.0","*"," 0.00","I","999.9","000000"
"72575399999","1991-07-31","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  88.8","13","  49.2","13","9999.9"," 0","999.9"," 0"," 27.5","13"," 10.4","13"," 22.9","999.9","  95.0","*","  81.0","*"," 0.00","I","999.9","000000"
"72575399999","1991-08-01","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  81.5","11","  51.6","11","9999.9"," 0","999.9"," 0"," 29.8","11","  8.4","11"," 15.0"," 20.0","  89.1","*","  75.0","*"," 0.00","I","999.9","000000"
"72575399999","1991-08-02","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  79.6","11","  50.4","11","9999.9"," 0","999.9"," 0"," 35.3","11","  9.6","11"," 13.0"," 18.1","  87.1","*","  70.0","*"," 0.00","I","999.9","000000"
"72575399999","1991-08-05","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  84.3"," 6","  61.2"," 6","9999.9"," 0","999.9"," 0"," 49.7"," 6","  5.2"," 6","  9.9"," 15.9","  88.0","*","  78.1","*"," 0.00","I","999.9","000000"
"72575399999","1991-08-06","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  86.2"," 6","  51.0"," 6","9999.9"," 0","999.9"," 0"," 49.7"," 6"," 14.3"," 6"," 17.1"," 32.1","  88.0","*","  84.0","*"," 0.00","I","999.9","000000"
"72575399999","1991-08-07","41.05","-113.07","1292.0","EAGLE RANGE, UT US","  86.0"," 9","  43.2"," 9","9999.9"," 0","999.9"," 0"," 49.7"," 9"," 15.9"," 9"," 19.0"," 26.0","  90.0","*","  81.0","*"," 0.00","I","999.9","000000"
