"Date","S_level_ft","N_level_ft","S_level_m","N_level_m","S_area_m2","N_area_m2","S_vol_m3","N_vol_m3","Total_vol_m3","natlev_m","natlev_ft"
"1847-11-01",4199.86461538462,4199.86461538462,1280.11873476923,1280.11873476923,2643109714.37725,1547985644.39446,11944694247.6216,6958588619.53957,18903282867.1612,1280.11873476923,4199.86461538461
"1847-12-01",4200.00307692308,4200.00307692308,1280.16093784615,1280.16093784615,2668944388.45154,1555834206.64774,12055254383.6407,7023665762.59652,19078920146.2373,1280.16093784615,4200.00307692306
"1848-01-01",4200.14615384615,4200.14615384615,1280.20454769231,1280.20454769231,2701544799.00052,1559612641.41669,12175132600.6631,7091887634.70505,19267020235.3682,1280.20454769231,4200.14615384616
"1848-02-01",4200.28923076923,4200.28923076923,1280.24815753846,1280.24815753846,2734145209.5422,1563391076.18478,12295010817.6586,7160109506.7983,19455120324.4569,1280.24815753846,4200.28923076923
"1848-03-01",4200.42307692308,4200.42307692308,1280.28895384615,1280.28895384615,2764642367.79181,1566925740.96795,12407154956.1417,7223929967.79072,19631084923.9324,1280.28895384615,4200.42307692306
"1848-04-01",4200.56615384615,4200.56615384615,1280.33256369231,1280.33256369231,2792667497.4872,1570218672.16621,12528248978.041,7292336597.63011,19820585575.6711,1280.33256369231,4200.56615384616
"1848-05-01",4200.70461538462,4200.70461538462,1280.37476676923,1280.37476676923,2814640112.65581,1572859051.67776,12646804863.6605,7358744466.39948,20005549330.06,1280.37476676923,4200.70461538461
"1848-06-01",4200.84769230769,4200.84769230769,1280.41837661538,1280.41837661538,2837345148.32971,1575587443.83966,12769312612.1321,7427365930.79346,20196678542.9256,1280.41837661538,4200.84769230768
"1848-07-01",4200.98615384615,4200.98615384615,1280.46057969231,1280.46057969231,2859317763.50341,1578227823.35183,12887868497.7791,7493773799.57822,20381642297.3573,1280.46057969231,4200.98615384616
"1848-08-01",4200.61818181818,4200.61818181818,1280.34842181818,1280.34842181818,2800923874.09444,1571210814.77036,12572797250.2047,7317289857.40535,19890087107.61,1280.34842181818,4200.61818181818
"1848-09-01",4200.19545454545,4200.19545454545,1280.21957454545,1280.21957454545,2712778078.28873,1560914594.7454,12216439610.9034,7115395171.26837,19331834782.1717,1280.21957454545,4200.19545454544
"1848-10-01",4199.80501930502,4199.80501930502,1280.10056988417,1280.10056988417,2632045950.41414,1544566489.55949,11897160704.7939,6930587602.05786,18827748306.8517,1280.10056988417,4199.80501930502
"1848-11-01",4199.96061776062,4199.96061776062,1280.14799629344,1280.14799629344,2660932155.64176,1553493506.4949,12021265275.164,7003695012.90426,19024960288.0682,1280.14799629344,4199.96061776063
"1848-12-01",4200.1111969112,4200.1111969112,1280.19389281853,1280.19389281853,2693579779.85554,1558689484.1691,12145843635.3535,7075219485.18483,19221063120.5383,1280.19389281853,4200.11119691119
"1849-01-01",4200.2667953668,4200.2667953668,1280.2413192278,1280.2413192278,2729033250.785,1562798592.7657,12276213124.9,7149411868.61874,19425624993.5187,1280.2413192278,4200.2667953668
"1849-02-01",4200.42239382239,4200.42239382239,1280.28874563707,1280.28874563707,2764486721.71445,1566907701.3623,12406582614.4464,7223604252.05264,19630186866.4991,1280.28874563707,4200.42239382241
"1849-03-01",4200.56293436293,4200.56293436293,1280.33158239382,1280.33158239382,2792156594.12047,1570157278.52819,12525492337.5299,7290792493.59555,19816284831.1255,1280.33158239382,4200.56293436293
"1849-04-01",4200.71853281853,4200.71853281853,1280.37900880309,1280.37900880309,2816848685.68746,1573124448.89779,12658721484.8598,7365419440.08503,20024140924.9448,1280.37900880309,4200.71853281854
"1849-05-01",4200.86911196911,4200.86911196911,1280.42490532819,1280.42490532819,2840744258.17168,1575995904.09418,12787652917.7599,7437639065.72011,20225291983.48,1280.42490532819,4200.86911196913
"1849-06-01",4201.02471042471,4201.02471042471,1280.47233173745,1280.47233173745,2867884074.99041,1579692222.90226,12921904602.588,7512392602.16203,20434297204.75,1280.47233173745,4201.0247104247
"1849-07-01",4200.956,4200.956,1280.4513888,1280.4513888,2854532616.19847,1577652807.36912,12862049660.458,7479311641.48596,20341361301.944,1280.4513888,4200.956
"1849-08-01",4200.6584,4200.6584,1280.36068032,1280.36068032,2807306141.99272,1571977751.67189,12607233543.6152,7336578995.53423,19943812539.1494,1280.36068032,4200.6584
