,time,value,days
0,1998-10-24,73.5670464,0
1,1998-10-25,74.0767488,1
2,1998-10-26,88.7448512,2
3,1998-10-27,79.7684256,3
4,1998-10-28,83.1947584,4
5,1998-10-29,81.8072352,5
6,1998-10-30,84.2991136,6
7,1998-10-31,83.70446079999999,7
8,1998-11-01,80.2498112,8
9,1998-11-02,77.0500128,9
10,1998-11-03,78.6074368,10
11,1998-11-04,83.109808,11
12,1998-11-05,83.1947584,12
13,1998-11-06,82.1470368,13
14,1998-11-07,92.65256959999999,14
15,1998-11-08,88.631584,15
16,1998-11-09,82.5151552,16
17,1998-11-10,82.2036704,17
18,1998-11-11,86.70604159999999,18
19,1998-11-12,84.46901439999999,19
20,1998-11-13,85.0636672,20
21,1998-11-14,85.3468352,21
22,1998-11-15,83.7327776,22
23,1998-11-16,85.1486176,23
24,1998-11-17,87.3006944,24
25,1998-11-18,83.4779264,25
26,1998-11-19,90.472176,26
27,1998-11-20,93.587024,27
28,1998-11-21,83.0248576,28
29,1998-11-22,81.4108,29
30,1998-11-23,88.0369312,30
31,1998-11-24,87.81039679999999,31
32,1998-11-25,86.3379232,32
33,1998-11-26,83.392976,33
34,1998-11-27,86.8759424,34
35,1998-11-28,91.6897984,35
36,1998-11-29,89.8208896,36
37,1998-11-30,87.7254464,37
38,1998-12-01,75.0678368,38
39,1998-12-02,94.294944,39
40,1998-12-03,92.1145504,40
41,1998-12-04,93.8135584,41
42,1998-12-05,99.8450368,42
43,1998-12-06,84.9787168,43
44,1998-12-07,93.6436576,44
45,1998-12-08,96.98504,45
46,1998-12-09,92.65256959999999,46
47,1998-12-10,89.19792,47
48,1998-12-11,83.9876288,48
49,1998-12-12,77.6446656,49
50,1998-12-13,82.11872,50
51,1998-12-14,91.4915808,51
52,1998-12-15,78.437536,52
53,1998-12-16,70.5937824,53
54,1998-12-17,83.0248576,54
55,1998-12-18,81.3824832,55
56,1998-12-19,73.5670464,56
57,1998-12-20,91.1517792,57
58,1998-12-21,84.4123808,58
59,1998-12-22,86.5361408,59
60,1998-12-23,81.7222848,60
61,1998-12-24,79.4569408,61
62,1998-12-25,82.685056,62
63,1998-12-26,79.1737728,63
64,1998-12-27,79.59852479999999,64
65,1998-12-28,82.4302048,65
66,1998-12-29,83.109808,66
67,1998-12-30,84.7521824,67
68,1998-12-31,96.418704,68
69,1999-01-01,91.4066304,69
70,1999-01-02,87.0175264,70
71,1999-01-03,86.649408,71
72,1999-01-04,100.241472,72
73,1999-01-05,88.914752,73
74,1999-01-06,88.2917824,74
75,1999-01-07,86.3945568,75
76,1999-01-08,82.8832736,76
77,1999-01-09,82.685056,77
78,1999-01-10,67.535568,78
79,1999-01-11,74.614768,79
80,1999-01-12,65.12864,80
81,1999-01-13,64.4490368,81
82,1999-01-14,66.54448,82
83,1999-01-15,63.854383999999996,83
84,1999-01-16,65.6383424,84
85,1999-01-17,76.4836768,85
86,1999-01-18,69.9708128,86
87,1999-01-19,68.526656,87
88,1999-01-20,72.7458592,88
89,1999-01-21,86.8193088,89
90,1999-01-22,97.409792,90
91,1999-01-23,91.18009599999999,91
92,1999-01-24,86.2812896,92
93,1999-01-25,83.2230752,93
94,1999-01-26,78.8056544,94
95,1999-01-27,78.5224864,95
96,1999-01-28,82.685056,96
97,1999-01-29,76.5686272,97
98,1999-01-30,66.2046784,98
99,1999-01-31,67.9886368,99
100,1999-02-01,68.385072,100
101,1999-02-02,64.2225024,101
102,1999-02-03,68.7815072,102
103,1999-02-04,75.1527872,103
104,1999-02-05,88.7448512,104
105,1999-02-06,80.5896128,105
106,1999-02-07,84.1575296,106
107,1999-02-08,91.91633279999999,107
108,1999-02-09,105.8765152,108
109,1999-02-10,122.86659519999999,109
110,1999-02-11,121.479072,110
111,1999-02-12,123.9143168,111
112,1999-02-13,119.2986784,112
113,1999-02-14,103.6961216,113
114,1999-02-15,85.091984,114
115,1999-02-16,102.0254304,115
116,1999-02-17,96.843456,116
117,1999-02-18,101.1759264,117
118,1999-02-19,107.887008,118
119,1999-02-20,108.2834432,119
120,1999-02-21,101.99711359999999,120
121,1999-02-22,98.542464,121
122,1999-02-23,102.4784992,122
